nome_contratante,nr_documento_contratante,cidade_contratante,estado_contratante,numero_apolice,data_contratacao,valor_pagamento,valor_premio,nome_beneficiario,status_apolice,Cobertura1,Valor Cob 1,Cobertura2,Valor Cob 2,Cobertura3,Valor Cob 3,capital_segurado
Maitê Santos,401.937.628-03,Santos de Moreira,SP,724585906,2024-09-15,355.24,119535.67,Pedro Miguel Nascimento,Ativa,Morte Natural,22796.9764,Diária por Incapacidade,20.724524,Auxílio Funeral,414.49048,103622.62
Brenda Lopes,768.105.342-53,Nascimento,MT,8807601662,2024-10-09,797.93,330704.22,Cauê Casa Grande,Cancelada,Invalidez Permanente,6007.76,Morte Natural,13217.072,Diária por Incapacidade,12.01552,60077.6
Pedro Albuquerque,538.910.426-98,Farias de Campos,ES,5860033388,2024-08-16,759.03,492887.43,Liam Gomes,Cancelada,Auxílio Funeral,284.20716,Invalidez Permanente,7105.179,Morte Natural,15631.3938,71051.79
José Sá,792.863.541-00,Azevedo,SP,4091478168,2023-09-05,166.42,422529.28,Sra. Lorena Silveira,Suspensa,Morte Acidental,28101.7134,Auxílio Funeral,416.32168,Morte Natural,22897.6924,104080.42
Dra. Eloá Silva,054.318.792-60,Teixeira,AM,8300216112,2025-02-23,887.62,107367.67,Mariane Mendes,Ativa,Diária por Incapacidade,37.812444,Invalidez Permanente,18906.222,Doenças Graves,9453.111,189062.22
Yasmin Pastor,143.965.280-51,Moura,SP,905483439,2025-08-21,349.57,368233.55,Dr. Samuel Martins,Ativa,Morte Natural,27415.6652,Auxílio Funeral,498.46664,Morte Acidental,33646.4982,124616.66
Sr. Thiago Moraes,507.139.824-97,Silva,RR,5858163391,2023-04-04,978.65,332973.71,Sra. Manuela Sales,Ativa,Diária por Incapacidade,174.213538,Morte Natural,191634.8918,Invalidez Permanente,87106.769,871067.69
Lara Novais,598.360.714-66,Lima de Sales,MS,4525777702,2023-10-18,813.41,242433.23,Srta. Luara Mendes,Ativa,Doenças Graves,5717.0525,Invalidez Permanente,11434.105,Morte Acidental,30872.0835,114341.05
Otávio Nunes,437.958.160-84,Silveira de Borges,AM,9926953659,2025-05-21,252.62,103299.94,Vitória Moura,Ativa,Doenças Graves,4735.7055,Invalidez Permanente,9471.411,Morte Acidental,25572.8097,94714.11
Luiz Felipe Cirino,920.873.541-97,Carvalho de Porto,CE,3895880823,2025-02-21,442.32,442798.12,Jade Novais,Ativa,Invalidez Permanente,17829.603,Auxílio Funeral,713.18412,Morte Natural,39225.1266,178296.03
Rafael Rodrigues,951.283.406-51,Pires,AP,3186128964,2024-02-18,145.95,219071.84,Isis Castro,Ativa,Morte Natural,34665.1184,Invalidez Permanente,15756.872,Doenças Graves,7878.436,157568.72
Miguel Pimenta,935.416.782-91,Castro,RJ,8754240822,2023-12-08,868.21,480194.66,Luiz Gustavo Sales,Ativa,Auxílio Funeral,571.77956,Morte Natural,31447.8758,Morte Acidental,38595.1203,142944.89
Ana Vitória Teixeira,529.017.634-99,Rios,PB,3093523247,2024-04-01,974.92,14268.02,Josué Cavalcanti,Ativa,Auxílio Funeral,3305.66648,Doenças Graves,41320.831,Morte Natural,181811.6564,826416.62
Lucas Gabriel Teixeira,783.905.614-84,Cavalcante de da Conceição,RR,2289576447,2025-01-12,127.74,281942.4,Daniel Sales,Ativa,Diária por Incapacidade,159.59144,Invalidez Permanente,79795.72,Doenças Graves,39897.86,797957.2
Nathan Montenegro,410.325.968-05,das Neves da Serra,AP,5298583326,2023-09-12,449.77,433308.25,Danilo Lopes,Cancelada,Doenças Graves,7514.095,Auxílio Funeral,601.1276,Morte Acidental,40576.113,150281.9
Ana Liz Pimenta,061.827.945-85,Aragão,MA,8418714886,2024-07-27,466.53,43871.12,Nicolas Ribeiro,Suspensa,Invalidez Permanente,16833.054,Morte Acidental,45449.2458,Diária por Incapacidade,33.666108,168330.54
Ana Luiza Novais,862.513.974-46,Abreu,SP,1241075973,2024-08-28,768.57,442478.07,Clara da Paz,Cancelada,Morte Natural,18214.1454,Invalidez Permanente,8279.157,Morte Acidental,22353.7239,82791.57
Benjamin Sales,490.786.125-76,Albuquerque,ES,7721673631,2023-04-18,181.66,299404.23,Nicole Carvalho,Ativa,Morte Acidental,27421.5267,Auxílio Funeral,406.24484,Invalidez Permanente,10156.121,101561.21
Maria Laura Aparecida,358.072.619-68,Moura da Mata,PA,1099087175,2023-12-24,774.71,404542.94,Bruna Oliveira,Ativa,Doenças Graves,7513.941,Morte Natural,33061.3404,Morte Acidental,40575.2814,150278.82
Anna Liz Vieira,697.185.024-67,Lima de Vargas,MS,9545064722,2024-03-08,956.89,210899.57,Alana Leão,Cancelada,Morte Acidental,14912.6994,Auxílio Funeral,220.92888,Invalidez Permanente,5523.222,55232.22
Caio Teixeira,691.784.350-48,Moura da Prata,TO,2413171405,2024-07-31,839.27,83429.86,Dr. João Lucas Moreira,Cancelada,Morte Acidental,191993.8734,Morte Natural,156439.4524,Invalidez Permanente,71108.842,711088.42
Daniela da Costa,962.857.031-59,Novais,RN,1195179082,2024-03-17,231.17,114423.53,Dra. Elisa Barbosa,Ativa,Diária por Incapacidade,32.812924,Doenças Graves,8203.231,Auxílio Funeral,656.25848,164064.62
Maysa Porto,682.170.495-30,Siqueira,SC,2473831032,2025-01-26,165.18,59443.75,Isabella Sampaio,Suspensa,Doenças Graves,8623.218,Morte Acidental,46565.3772,Invalidez Permanente,17246.436,172464.36
José Pedro Câmara,850.761.432-90,Carvalho de Pacheco,PB,9839069519,2023-03-07,423.7,299422.42,Sr. Lorenzo Marques,Ativa,Morte Acidental,37621.4085,Morte Natural,30654.481,Auxílio Funeral,557.3542,139338.55
Maitê Sousa,865.103.279-02,Albuquerque Alegre,PE,5124855512,2023-09-06,195.15,55009.29,Sr. Gabriel Andrade,Ativa,Invalidez Permanente,81091.908,Morte Acidental,218948.1516,Doenças Graves,40545.954,810919.08
Carolina Vargas,902.517.638-03,Almeida de Ferreira,TO,4823548462,2025-07-31,589.22,340052.44,João Montenegro,Suspensa,Invalidez Permanente,7013.074,Diária por Incapacidade,14.026148,Doenças Graves,3506.537,70130.74
Arthur Gabriel Pastor,530.168.429-98,Duarte da Prata,RO,6259898128,2023-08-03,409.91,234299.94,Ana Liz Azevedo,Ativa,Invalidez Permanente,5510.679,Morte Acidental,14878.8333,Doenças Graves,2755.3395,55106.79
Sra. Evelyn Cassiano,526.349.781-46,Moreira,GO,5585655677,2025-01-07,248.02,467077.72,Sr. João Gabriel Sousa,Ativa,Morte Natural,39020.1592,Auxílio Funeral,709.45744,Morte Acidental,47888.3772,177364.36
Juliana Mendonça,217.605.843-71,Ferreira das Pedras,ES,5853445798,2024-07-13,598.61,211779.56,Arthur Miguel Albuquerque,Ativa,Diária por Incapacidade,38.101132,Morte Acidental,51436.5282,Invalidez Permanente,19050.566,190505.66
Dr. Mateus Silva,417.869.523-19,Siqueira de Minas,DF,5134180736,2025-08-26,536.63,138290.92,Maria Júlia Aparecida,Ativa,Auxílio Funeral,405.80636,Doenças Graves,5072.5795,Diária por Incapacidade,20.290318,101451.59
Dr. José Miguel Jesus,976.804.512-49,Montenegro do Amparo,MS,7562126787,2025-08-26,746.98,284562.24,Anthony Viana,Ativa,Morte Acidental,37520.5176,Diária por Incapacidade,27.792976,Invalidez Permanente,13896.488,138964.88
Diego Nascimento,176.305.928-68,Souza da Praia,ES,1412630491,2025-03-29,430.69,335655.38,Pedro Henrique Leão,Ativa,Invalidez Permanente,7798.62,Doenças Graves,3899.31,Morte Acidental,21056.274,77986.2
Dante da Rocha,804.519.623-89,da Luz,ES,158968696,2025-08-08,547.06,379899.02,João Vitor Costa,Ativa,Diária por Incapacidade,38.909464,Morte Natural,42800.4104,Doenças Graves,9727.366,194547.32
Dr. Bento Nogueira,910.836.245-98,Rodrigues,AM,5046319725,2024-11-10,942.7,239890.86,Clarice Rodrigues,Ativa,Invalidez Permanente,18576.883,Auxílio Funeral,743.07532,Doenças Graves,9288.4415,185768.83
Emilly Pimenta,380.652.914-06,Sá da Praia,PI,4787420334,2025-06-24,212.53,163373.75,Gabrielly Freitas,Ativa,Doenças Graves,7282.313,Invalidez Permanente,14564.626,Auxílio Funeral,582.58504,145646.26
Ravi Lucca Rios,316.052.487-62,Novaes do Campo,RR,4482232847,2024-11-05,605.93,98760.58,Dra. Ana Carolina Caldeira,Ativa,Doenças Graves,6383.817,Morte Natural,28088.7948,Invalidez Permanente,12767.634,127676.34
Vicente Siqueira,603.148.529-05,Cavalcanti,PI,6591295962,2025-04-15,286.74,470792.7,Maria Júlia Freitas,Cancelada,Morte Natural,31849.7542,Invalidez Permanente,14477.161,Morte Acidental,39088.3347,144771.61
Juan Nunes,152.947.630-52,Novaes Verde,MG,1431018159,2025-06-12,832.03,182443.09,Gabriel Santos,Ativa,Diária por Incapacidade,32.820494,Morte Acidental,44307.6669,Doenças Graves,8205.1235,164102.47
Bella Moreira,531.276.498-19,Araújo,MT,5438812877,2025-01-13,970.19,209577.61,Luiz Gustavo Pires,Ativa,Morte Acidental,53991.2655,Invalidez Permanente,19996.765,Doenças Graves,9998.3825,199967.65
Lorenzo da Costa,810.694.753-00,Gomes,RJ,8810898866,2025-07-25,228.5,329453.48,Alexandre Jesus,Cancelada,Doenças Graves,9664.339,Morte Natural,42523.0916,Morte Acidental,52187.4306,193286.78
Yan Jesus,874.513.062-08,Fonseca,RR,9860467671,2025-03-14,232.25,196346.98,Heloísa Azevedo,Ativa,Doenças Graves,3398.3225,Morte Acidental,18350.9415,Morte Natural,14952.619,67966.45
Isabella Nunes,210.693.784-96,Dias do Sul,CE,454841706,2024-11-12,211.8,486097.2,Sr. Davi Lucca Gomes,Cancelada,Morte Natural,35971.8348,Invalidez Permanente,16350.834,Doenças Graves,8175.417,163508.34
Sr. Apollo Duarte,875.214.360-08,Castro de Viana,SC,541715892,2025-05-01,379.24,200186.61,Dr. Dante Pacheco,Ativa,Diária por Incapacidade,194.18831,Doenças Graves,48547.0775,Auxílio Funeral,3883.7662,970941.55
Maria Sophia Cardoso,293.504.716-80,Câmara de Goiás,TO,8452603411,2022-12-16,393.08,141185.12,Ravy Campos,Ativa,Diária por Incapacidade,28.546956,Morte Natural,31401.6516,Doenças Graves,7136.739,142734.78
Camila Garcia,470.961.235-80,Barros do Oeste,AM,1177182010,2023-11-30,577.84,391798.57,Dr. Anthony Caldeira,Ativa,Invalidez Permanente,16135.572,Morte Natural,35498.2584,Auxílio Funeral,645.42288,161355.72
Diego da Paz,172.405.896-76,Aparecida Grande,AM,3975323677,2024-09-04,507.1,171716.63,Bryan Cardoso,Cancelada,Doenças Graves,3035.395,Morte Natural,13355.738,Auxílio Funeral,242.8316,60707.9
Daniela Viana,914.076.583-01,Pastor,AM,3489956003,2025-08-06,660.2,256183.95,Francisco Nunes,Ativa,Diária por Incapacidade,19.127926,Morte Natural,21040.7186,Invalidez Permanente,9563.963,95639.63
Bernardo Pinto,075.381.926-03,Brito,MS,5758292657,2025-03-15,610.87,31745.15,Eloah da Mata,Ativa,Invalidez Permanente,50755.125,Diária por Incapacidade,101.51025,Morte Natural,111661.275,507551.25
Cecília da Cruz,942.170.586-67,Silva de Minas,SC,3237970214,2023-10-23,205.21,142702.76,Isabella Viana,Suspensa,Doenças Graves,39778.44,Diária por Incapacidade,159.11376,Invalidez Permanente,79556.88,795568.8
Breno Pimenta,715.930.286-95,Vieira de Porto,AL,9590511331,2025-08-12,713.79,238841.47,Sr. Arthur Gabriel Brito,Suspensa,Diária por Incapacidade,20.1555,Doenças Graves,5038.875,Auxílio Funeral,403.11,100777.5
Calebe das Neves,685.127.039-03,Ramos,BA,6744355193,2025-04-07,513.66,251453.17,Léo Porto,Ativa,Invalidez Permanente,55411.822,Doenças Graves,27705.911,Morte Natural,121906.0084,554118.22
José Pedro Vargas,745.389.160-48,Oliveira,PR,8686038632,2024-05-17,183.64,455560.65,Noah Machado,Ativa,Doenças Graves,9041.2485,Diária por Incapacidade,36.164994,Invalidez Permanente,18082.497,180824.97
Pietra Farias,140.325.897-04,Aparecida da Praia,PR,4121131194,2024-05-29,291.08,160148.26,Sra. Marcela Cirino,Suspensa,Auxílio Funeral,659.08384,Doenças Graves,8238.548,Morte Natural,36249.6112,164770.96
Maria Fernanda Andrade,219.540.876-67,Pimenta das Flores,SP,9938025460,2024-01-11,423.85,13408.65,Aurora Sousa,Ativa,Invalidez Permanente,11317.333,Morte Natural,24898.1326,Morte Acidental,30556.7991,113173.33
Dom Freitas,402.978.653-74,Cardoso,AL,3798754963,2023-10-24,421.03,487625.63,João Vitor Gonçalves,Suspensa,Morte Acidental,24497.8128,Morte Natural,19961.1808,Diária por Incapacidade,18.146528,90732.64
Ravy Dias,652.940.781-20,Vargas do Oeste,CE,2107243669,2023-05-24,278.7,422397.78,Ana Liz Silveira,Ativa,Diária por Incapacidade,116.872746,Auxílio Funeral,2337.45492,Doenças Graves,29218.1865,584363.73
Sr. João Miguel das Neves,810.326.947-69,da Paz,CE,7707694211,2025-10-04,258.54,405843.94,Eduardo Marques,Ativa,Morte Natural,35276.736,Diária por Incapacidade,32.06976,Invalidez Permanente,16034.88,160348.8
Olívia Sá,269.518.074-85,Caldeira,RR,7304501223,2024-09-18,698.91,286092.74,Ana Carolina Castro,Ativa,Doenças Graves,5989.312,Auxílio Funeral,479.14496,Diária por Incapacidade,23.957248,119786.24
Dr. Francisco Gonçalves,375.164.089-48,da Conceição,TO,2253525682,2024-11-20,870.75,428348.15,Josué Silva,Ativa,Auxílio Funeral,263.5028,Invalidez Permanente,6587.57,Morte Natural,14492.654,65875.7
Dra. Ana Luiza Cunha,048.951.673-48,Farias,AM,2651294785,2023-10-28,281.95,54879.06,Bruno Camargo,Ativa,Morte Acidental,48646.5939,Diária por Incapacidade,36.034514,Invalidez Permanente,18017.257,180172.57
Sra. Alícia Novais,520.184.967-94,Lima,CE,392894271,2023-06-04,778.03,306407.96,Eduardo das Neves,Ativa,Morte Natural,31747.7314,Diária por Incapacidade,28.861574,Invalidez Permanente,14430.787,144307.87
Brenda Dias,421.583.760-07,Correia de Albuquerque,RS,2276746160,2025-09-18,918.56,367255.85,Sr. Luan Fogaça,Ativa,Diária por Incapacidade,11.8039,Invalidez Permanente,5901.95,Doenças Graves,2950.975,59019.5
Esther da Rocha,942.137.865-28,Araújo,CE,4335195184,2023-10-15,128.37,31249.73,Thiago Alves,Suspensa,Doenças Graves,3573.865,Morte Acidental,19298.871,Auxílio Funeral,285.9092,71477.3
Isis Peixoto,410.637.895-75,da Mota de Araújo,MS,8200808550,2024-05-12,477.55,16737.57,Manuela Caldeira,Ativa,Invalidez Permanente,15527.999,Morte Natural,34161.5978,Auxílio Funeral,621.11996,155279.99
Srta. Maria Julia Fogaça,476.803.219-22,Pires de Sá,MG,4508475550,2024-09-27,615.1,263002.21,Gabriel Oliveira,Ativa,Morte Natural,37616.9684,Auxílio Funeral,683.94488,Doenças Graves,8549.311,170986.22
Enzo Gabriel Costela,148.065.273-35,da Rosa das Flores,BA,3984932257,2025-07-05,743.03,22457.38,Heitor Aparecida,Ativa,Diária por Incapacidade,26.470634,Morte Acidental,35735.3559,Morte Natural,29117.6974,132353.17
Helena Machado,459.768.013-66,Novaes,RO,8359075114,2023-03-21,981.23,249274.6,Murilo Barros,Ativa,Morte Natural,33958.6456,Morte Acidental,41676.5196,Invalidez Permanente,15435.748,154357.48
Mirella Almeida,182.056.349-98,Albuquerque,ES,7626988756,2025-03-12,933.75,42847.59,Maria Luísa Macedo,Ativa,Invalidez Permanente,5399.543,Morte Acidental,14578.7661,Morte Natural,11878.9946,53995.43
Rael Albuquerque,314.597.620-61,Sousa,AM,4132709875,2024-03-09,744.1,158167.26,Dra. Maitê Pastor,Ativa,Diária por Incapacidade,25.01421,Morte Natural,27515.631,Morte Acidental,33769.1835,125071.05
Luísa Oliveira,072.943.581-41,Fogaça,AP,6699883244,2025-10-13,767.61,426492.04,Yuri Pastor,Suspensa,Doenças Graves,6404.1,Auxílio Funeral,512.328,Diária por Incapacidade,25.6164,128082.0
Lucca Gonçalves,352.478.690-10,Machado,RJ,9969214392,2023-06-01,809.72,208969.22,Srta. Manuella Cassiano,Suspensa,Doenças Graves,7339.2795,Morte Natural,32292.8298,Invalidez Permanente,14678.559,146785.59
Joaquim Barros,971.308.246-03,Vieira dos Dourados,BA,6243030043,2025-07-18,622.89,14220.3,Thomas Moraes,Ativa,Diária por Incapacidade,27.262096,Doenças Graves,6815.524,Auxílio Funeral,545.24192,136310.48
Lívia Rezende,075.683.412-08,Barbosa,RO,1921115505,2024-02-14,467.45,300039.51,Dom Gonçalves,Ativa,Invalidez Permanente,13195.437,Morte Natural,29029.9614,Doenças Graves,6597.7185,131954.37
Gabriela Casa Grande,348.276.910-96,Rodrigues,DF,3784710269,2024-03-16,608.16,260086.65,Dra. Maria Isis da Mota,Ativa,Doenças Graves,8083.7585,Auxílio Funeral,646.70068,Diária por Incapacidade,32.335034,161675.17
Marcela Fonseca,178.629.430-31,Borges,CE,2685678574,2025-07-11,830.24,194019.31,Ravi Araújo,Ativa,Doenças Graves,49687.0755,Diária por Incapacidade,198.748302,Invalidez Permanente,99374.151,993741.51
Dr. Valentim Martins,192.376.850-68,Macedo Verde,PR,2523095619,2024-01-10,851.44,149246.29,Ana Julia Barbosa,Ativa,Doenças Graves,6153.956,Diária por Incapacidade,24.615824,Morte Natural,27077.4064,123079.12
Pedro Azevedo,682.957.314-91,da Cunha,PI,799768756,2024-09-28,757.13,284013.01,Joaquim Gonçalves,Suspensa,Morte Natural,31006.052,Doenças Graves,7046.83,Diária por Incapacidade,28.18732,140936.6
Eduardo Aparecida,172.530.864-90,Aparecida,CE,2137798279,2025-07-25,339.32,325680.08,Lucas Ferreira,Cancelada,Auxílio Funeral,376.16948,Diária por Incapacidade,18.808474,Invalidez Permanente,9404.237,94042.37
Bruno Camargo,032.594.167-06,Costa da Serra,AL,7377413307,2024-02-20,373.76,165722.38,Srta. Ana Sophia Aragão,Cancelada,Morte Acidental,19786.356,Doenças Graves,3664.14,Invalidez Permanente,7328.28,73282.8
Hadassa da Mota,376.089.215-95,da Conceição,TO,6318501289,2025-04-18,300.29,196097.06,Paulo Nunes,Ativa,Invalidez Permanente,15918.756,Morte Natural,35021.2632,Morte Acidental,42980.6412,159187.56
Sr. Enzo Gabriel Rezende,619.305.872-95,Jesus,RO,2625133656,2023-08-14,794.08,191081.63,Ravi Lucca Marques,Ativa,Diária por Incapacidade,189.520674,Morte Natural,208472.7414,Doenças Graves,47380.1685,947603.37
Vitória Sá,846.027.953-74,Barbosa do Sul,MA,2909788527,2025-06-07,212.8,233023.87,Rebeca Vargas,Suspensa,Invalidez Permanente,16817.273,Morte Acidental,45406.6371,Diária por Incapacidade,33.634546,168172.73
Sra. Mariah Pires,728.104.359-79,Mendes,DF,7790176283,2025-10-22,599.84,29509.2,Aylla Cavalcante,Ativa,Invalidez Permanente,10510.625,Diária por Incapacidade,21.02125,Auxílio Funeral,420.425,105106.25
Maria Isis Pastor,740.983.152-97,Machado Grande,DF,8992576181,2024-07-14,556.88,51288.26,Sr. Matteo Martins,Suspensa,Morte Natural,26728.3742,Morte Acidental,32803.0047,Diária por Incapacidade,24.298522,121492.61
José Pedro Albuquerque,351.486.029-70,da Paz,PE,4546503098,2025-03-14,829.73,218639.95,Caleb Vargas,Ativa,Doenças Graves,29561.7895,Invalidez Permanente,59123.579,Auxílio Funeral,2364.94316,591235.79
Asafe Araújo,310.697.285-86,Moreira do Campo,SE,4977246961,2025-04-14,151.12,144322.98,Srta. Hadassa Pereira,Ativa,Invalidez Permanente,74294.636,Doenças Graves,37147.318,Morte Acidental,200595.5172,742946.36
Vicente Andrade,046.915.832-89,Cirino,TO,3461719529,2024-08-12,679.03,238665.47,Elisa Camargo,Ativa,Doenças Graves,33772.0905,Invalidez Permanente,67544.181,Diária por Incapacidade,135.088362,675441.81
Luiz Otávio Lima,204.563.918-51,Novais de Pimenta,AL,1448532615,2024-10-18,872.33,166983.7,Enzo Gabriel Dias,Ativa,Morte Acidental,238176.8199,Morte Natural,194070.0014,Invalidez Permanente,88213.637,882136.37
Anthony Santos,952.746.301-70,Lopes,SC,4157313448,2022-12-20,403.81,113934.75,Heloísa Pacheco,Ativa,Auxílio Funeral,456.93232,Diária por Incapacidade,22.846616,Invalidez Permanente,11423.308,114233.08
Daniela Sampaio,135.784.029-23,da Paz de Minas,PE,733827858,2024-10-10,400.58,317441.27,Ana Beatriz Machado,Suspensa,Morte Acidental,51710.1165,Diária por Incapacidade,38.30379,Morte Natural,42134.169,191518.95
Sarah Silva,497.385.260-00,Martins,PA,5698652636,2025-03-29,873.17,317939.13,Anthony Mendonça,Ativa,Morte Natural,181310.789,Invalidez Permanente,82413.995,Doenças Graves,41206.9975,824139.95
Amanda Carvalho,279.056.183-40,da Rosa de Moraes,GO,7131811650,2023-05-14,706.12,119602.91,Renan Pires,Ativa,Morte Acidental,246044.6955,Invalidez Permanente,91127.665,Diária por Incapacidade,182.25533,911276.65
Ryan Barbosa,183.062.794-50,Pires de Goiás,PB,6024083054,2024-11-29,481.39,346659.36,Yan Pimenta,Cancelada,Morte Natural,26952.1076,Doenças Graves,6125.479,Morte Acidental,33077.5866,122509.58
Samuel Monteiro,320.596.814-05,Garcia,MS,4622415322,2023-11-16,716.11,378380.2,Cecília Montenegro,Cancelada,Morte Natural,21049.5956,Doenças Graves,4783.999,Invalidez Permanente,9567.998,95679.98
Pedro Henrique Azevedo,348.915.276-09,Rodrigues da Prata,PA,3689203368,2022-11-12,925.9,152836.17,Stella Viana,Cancelada,Doenças Graves,7860.8195,Auxílio Funeral,628.86556,Morte Natural,34587.6058,157216.39
Rebeca Nogueira,961.485.237-28,Rios da Mata,SE,4471878423,2023-09-12,446.11,165686.36,Ravi Lucca da Paz,Cancelada,Invalidez Permanente,11888.055,Doenças Graves,5944.0275,Diária por Incapacidade,23.77611,118880.55
Dra. Larissa Cavalcante,135.962.740-52,Monteiro do Amparo,MA,9314790860,2023-10-01,744.33,462744.01,Maria Flor Pires,Ativa,Doenças Graves,6764.048,Morte Natural,29761.8112,Morte Acidental,36525.8592,135280.96
Erick da Mata,850.326.947-38,Cardoso do Norte,MG,6895905594,2024-08-15,353.69,352957.12,Luiz Henrique Sales,Ativa,Morte Natural,26137.3706,Diária por Incapacidade,23.761246,Invalidez Permanente,11880.623,118806.23
Rebeca Vieira,342.560.978-56,Rezende,RN,2867926907,2024-07-14,736.87,57833.11,Sra. Luana Carvalho,Ativa,Auxílio Funeral,670.19392,Diária por Incapacidade,33.509696,Invalidez Permanente,16754.848,167548.48
Isis Almeida,864.172.905-49,Monteiro de Correia,GO,1684852820,2025-05-18,910.83,479196.11,Sophia Moreira,Suspensa,Invalidez Permanente,9707.956,Morte Natural,21357.5032,Morte Acidental,26211.4812,97079.56
Rhavi Sales,456.901.832-70,Mendes de Martins,PE,2328341676,2023-11-09,971.23,99581.27,Mariana Correia,Cancelada,Morte Natural,24509.0604,Morte Acidental,30079.3014,Invalidez Permanente,11140.482,111404.82
João Vitor Rios,573.180.492-32,Montenegro,ES,2526329908,2023-03-30,531.85,372154.45,Ravy da Rocha,Ativa,Morte Acidental,175290.1776,Auxílio Funeral,2596.89152,Morte Natural,142829.0336,649222.88
Mariah Viana,879.340.562-65,Farias de da Mota,PE,6525527117,2024-04-24,574.97,368008.51,Guilherme Sousa,Ativa,Diária por Incapacidade,116.700512,Morte Natural,128370.5632,Auxílio Funeral,2334.01024,583502.56
Bento Jesus,918.523.746-91,Cavalcanti de Nascimento,BA,779618587,2025-07-06,581.72,265898.34,Luara Nunes,Ativa,Morte Natural,173274.0988,Morte Acidental,212654.5758,Doenças Graves,39380.477,787609.54
Thales Aragão,958.763.014-93,Nunes Alegre,ES,7009452452,2023-09-04,903.48,429864.14,Leonardo Guerra,Cancelada,Auxílio Funeral,371.61776,Diária por Incapacidade,18.580888,Morte Natural,20438.9768,92904.44
Luiz Felipe Araújo,419.206.735-80,Monteiro de da Luz,CE,2806961986,2023-01-20,283.02,293454.11,Gael Sampaio,Ativa,Diária por Incapacidade,25.915964,Morte Natural,28507.5604,Invalidez Permanente,12957.982,129579.82
Ester Macedo,780.693.142-22,Campos do Oeste,BA,3173007821,2024-02-17,204.74,144323.84,Helena Pires,Suspensa,Doenças Graves,4133.5925,Auxílio Funeral,330.6874,Invalidez Permanente,8267.185,82671.85
Letícia Sales,654.718.920-11,Machado de Oliveira,RO,4754572306,2023-06-20,538.52,235340.38,Anna Liz da Rosa,Cancelada,Doenças Graves,6690.832,Morte Acidental,36130.4928,Auxílio Funeral,535.26656,133816.64
Luigi Marques,748.206.931-31,Novais de Minas,RJ,58068953,2023-06-09,627.37,384663.83,Dr. Otávio Porto,Ativa,Diária por Incapacidade,17.285358,Doenças Graves,4321.3395,Invalidez Permanente,8642.679,86426.79
Pedro Miguel Cavalcanti,906.578.314-84,Cassiano,BA,171896187,2025-10-28,531.92,195473.94,Juliana das Neves,Ativa,Invalidez Permanente,17820.418,Auxílio Funeral,712.81672,Morte Natural,39204.9196,178204.18
Dra. Olivia Pimenta,902.415.673-43,Pinto,PR,4995097183,2024-09-01,122.11,470032.75,Sr. Luigi Barbosa,Ativa,Doenças Graves,9799.643,Auxílio Funeral,783.97144,Invalidez Permanente,19599.286,195992.86
Leandro Costela,481.569.307-20,Pimenta do Amparo,MG,4371990006,2023-03-08,135.73,339003.2,Sr. Heitor Cirino,Ativa,Morte Acidental,156610.9458,Morte Natural,127608.9188,Doenças Graves,29002.027,580040.54
Francisco da Mota,732.609.518-30,Borges de Minas,PR,292228855,2022-12-03,276.97,139496.35,Gustavo Henrique Sampaio,Cancelada,Auxílio Funeral,226.6744,Invalidez Permanente,5666.86,Diária por Incapacidade,11.33372,56668.6
Ana Liz Correia,769.125.308-77,Almeida,GO,778948684,2024-10-09,430.92,408371.55,Vitor Gomes,Ativa,Morte Acidental,53057.943,Morte Natural,43232.398,Diária por Incapacidade,39.30218,196510.9
Nicolas Vieira,910.275.834-23,da Cunha da Mata,SP,3522119022,2023-10-21,237.68,103534.76,Dr. Ravi Cavalcante,Ativa,Doenças Graves,9952.545,Auxílio Funeral,796.2036,Invalidez Permanente,19905.09,199050.9
Sr. Isaac Lopes,103.625.978-12,Leão do Sul,RS,4096344811,2024-05-11,750.2,478769.41,Ian Mendes,Ativa,Diária por Incapacidade,13.975084,Doenças Graves,3493.771,Morte Natural,15372.5924,69875.42
Melissa Pinto,506.328.479-56,Lopes das Pedras,SC,1395936966,2024-06-04,509.41,434693.76,Sra. Heloísa das Neves,Ativa,Morte Acidental,198832.3605,Auxílio Funeral,2945.6646,Morte Natural,162011.553,736416.15
Breno Farias,317.690.452-52,Casa Grande de Albuquerque,AC,1982810978,2024-10-12,408.7,247352.18,Sr. Carlos Eduardo Silva,Ativa,Diária por Incapacidade,177.113896,Morte Natural,194825.2856,Invalidez Permanente,88556.948,885569.48
Maria Laura Montenegro,326.879.014-31,Carvalho,MA,5919439164,2023-03-07,604.59,294745.85,Julia Correia,Ativa,Doenças Graves,5895.092,Auxílio Funeral,471.60736,Diária por Incapacidade,23.580368,117901.84
Amanda Cirino,746.329.058-10,Dias,RO,6134668547,2024-05-31,231.08,466294.96,Julia Gonçalves,Ativa,Invalidez Permanente,11124.941,Diária por Incapacidade,22.249882,Morte Natural,24474.8702,111249.41
Ravy Vieira,832.069.417-50,Aragão,MT,2303175965,2025-04-13,434.62,412121.32,Rael Câmara,Ativa,Auxílio Funeral,3274.00876,Invalidez Permanente,81850.219,Morte Natural,180070.4818,818502.19
