nome_segurado,tipo_sinistro,nome_beneficiario,valor_sinistro,quem_forma_beneficiados,status_seguro,regiao_sinistro
Miguel Costela,Morte Acidental,Marcelo Castro,78535.31,Antony Andrade,Pago,Almeida
Benjamim Correia,Invalidez Permanente,Dr. Anthony Gabriel Vieira,26312.42,Srta. Antonella Santos,Negado,Teixeira
Mariane Andrade,Morte Acidental,Ester Cavalcanti,17684.26,Leandro Marques,Negado,Leão
Maria Alice Porto,Invalidez Permanente,Matteo Novais,10167.64,Emanuella Aragão,Pago,da Cunha Grande
Vinicius Rezende,Morte Acidental,Srta. Melissa Lima,57220.06,João Miguel Rocha,Em análise,Costela
Beatriz Moreira,Auxílio Funeral,Ágatha da Rocha,71641.04,Mariana Cunha,Pago,Azevedo
Maria Eduarda Oliveira,Auxílio Funeral,Thiago Pimenta,23331.31,Sra. Maria Cecília Pires,Pago,Borges de Mendonça
Lorena Peixoto,Invalidez Permanente,Lívia Sousa,375253.97,Ravi Cunha,Em análise,Vargas
Eduardo Freitas,Morte Acidental,Mariana Silveira,94859.57,Sr. Benicio Barros,Negado,Vasconcelos
Sr. Apollo Ramos,Invalidez Permanente,Theodoro Barbosa,76970.16,Anthony Viana,Em análise,da Rocha
Brayan Ferreira,Morte Acidental,Caio Cavalcanti,88243.64,Dom Andrade,Negado,Moreira do Sul
Gabriel Santos,Doença Grave,Arthur Miguel Lima,46813.47,Théo Sá,Negado,Abreu
Bárbara Teixeira,Invalidez Permanente,Dra. Alana Farias,52458.68,Sr. João Gabriel Rocha,Em análise,Leão do Galho
Maria Clara Ribeiro,Morte Acidental,Maria Aparecida,89994.03,Fernando da Paz,Negado,da Rosa do Galho
Davi Lucca da Luz,Morte Acidental,Caleb Santos,441306.91,Elisa Duarte,Negado,Cavalcanti
Júlia Pimenta,Doença Grave,Dr. Leandro Cassiano,13116.77,Milena Garcia,Em análise,Moura do Norte
Ana Júlia Pimenta,Morte Acidental,Sophie Montenegro,23516.89,Luiz Otávio Ribeiro,Negado,Novaes
Theo Moura,Morte Acidental,Gustavo Henrique Melo,76056.3,Leonardo Lopes,Em análise,Cavalcante
Sr. Luiz Fernando Almeida,Morte Acidental,Dante Rios,11365.64,Eloah da Conceição,Negado,Fernandes de Almeida
Sra. Marina Rios,Morte Acidental,Sra. Agatha da Cruz,35449.45,Ana Laura Lima,Em análise,Vasconcelos
Maria Isis Cunha,Invalidez Permanente,Pedro Azevedo,21802.43,Anthony Gabriel Novais,Negado,Barros
Dra. Milena Vasconcelos,Auxílio Funeral,Rael Cirino,12328.84,Julia da Cruz,Negado,Nascimento
Heitor da Cruz,Auxílio Funeral,Anthony Andrade,78797.17,Evelyn da Rosa,Em análise,Araújo da Praia
Lunna Azevedo,Doença Grave,Srta. Lavínia Vasconcelos,78649.25,Mirella Oliveira,Pago,Campos
Sra. Alexia da Luz,Auxílio Funeral,Arthur Miguel Duarte,478148.93,Dr. João Guilherme Moura,Pago,Duarte dos Dourados
Arthur Gabriel Guerra,Morte Acidental,Heloisa da Cruz,11817.62,Maria Vitória Cassiano,Em análise,Almeida Grande
Luiz Henrique Cardoso,Morte Acidental,Brenda Cavalcanti,18561.79,Noah Moura,Em análise,Dias de Goiás
João Felipe da Cruz,Morte Acidental,Marcela Gonçalves,42598.94,Breno Barros,Negado,Nogueira do Oeste
Theo Farias,Morte Acidental,Benjamim Viana,36918.22,Raquel Macedo,Pago,Rezende
Ana Luiza Monteiro,Invalidez Permanente,Igor Garcia,394292.45,Vinicius Abreu,Pago,Costela Paulista
Sara Marques,Doença Grave,Bernardo Ferreira,255034.8,Allana Jesus,Negado,Aragão Verde
Bento Moraes,Morte Acidental,Maysa da Cunha,29236.16,Enrico Garcia,Pago,da Rosa
Sophie Fogaça,Morte Acidental,Caroline Pires,20574.33,Laís Mendonça,Em análise,Machado
João Miguel Andrade,Invalidez Permanente,Henrique Sá,76043.48,Benicio Caldeira,Negado,da Rosa do Galho
Benjamin Brito,Invalidez Permanente,Maria Vitória Macedo,261086.49,Srta. Alexia Lopes,Em análise,Silveira
João Miguel da Rocha,Auxílio Funeral,Antonella Rocha,95477.47,Yasmin Guerra,Pago,Sá
Ryan Camargo,Auxílio Funeral,Srta. Clara Ferreira,72714.79,Enzo Novais,Pago,Vargas do Sul
Bella Rios,Morte Acidental,Isabela da Rosa,57586.13,Arthur Miguel Monteiro,Pago,Silveira das Pedras
Benicio Teixeira,Doença Grave,Liam Freitas,73062.31,Sra. Kamilly Lopes,Pago,Marques da Mata
Nathan Farias,Invalidez Permanente,Dr. Levi Guerra,243787.33,Brayan Vieira,Pago,Duarte do Norte
Jade Alves,Invalidez Permanente,Luiz Otávio Nogueira,13001.83,Bárbara Dias,Em análise,Macedo
Dra. Antonella Peixoto,Doença Grave,Dra. Ana Luiza Silveira,85733.42,Luiz Felipe Fonseca,Negado,Duarte Alegre
Pedro Lucas Araújo,Morte Acidental,Sr. Bernardo Andrade,33696.63,Evelyn Cassiano,Pago,Castro da Serra
Dr. Lucas Moura,Doença Grave,Dr. Yago Leão,69066.22,Ester Sá,Pago,Sousa
Clarice Fernandes,Morte Acidental,Leandro Fernandes,72968.87,Hellena Novais,Pago,Monteiro das Pedras
Luiz Henrique Andrade,Morte Acidental,Eloá Pimenta,72188.0,Sr. Enzo Gabriel Azevedo,Negado,Pereira
Letícia Andrade,Morte Acidental,Maya Porto,77251.31,João Felipe Duarte,Pago,Casa Grande de Souza
Marcela Nascimento,Doença Grave,Maria Fernanda Oliveira,481196.25,Luan Lima,Negado,Farias do Galho
Ana Beatriz da Rocha,Morte Acidental,Cauê Gonçalves,14268.18,Bryan Alves,Em análise,Porto
Luiz Henrique Melo,Morte Acidental,Lavínia da Paz,40662.7,Srta. Agatha Araújo,Pago,Ribeiro
Carolina Sá,Morte Acidental,Sara Almeida,47234.02,Benjamin Pimenta,Pago,Pastor de Goiás
Heloísa Moura,Morte Acidental,Maria Cecília da Cunha,307666.69,Caio Cardoso,Em análise,Vasconcelos
Clarice Nascimento,Auxílio Funeral,Sr. Enzo Gabriel Rios,61690.39,Leandro Vasconcelos,Em análise,Albuquerque
Sofia Andrade,Morte Acidental,Eduarda Fogaça,16814.05,Sra. Rebeca Ribeiro,Em análise,Sales dos Dourados
Lara Moura,Doença Grave,Valentim Cavalcante,83471.61,Gustavo Henrique Nunes,Em análise,Santos de Ribeiro
Sr. Rodrigo da Mata,Doença Grave,Maria Vitória da Cunha,92323.06,Noah Almeida,Em análise,das Neves da Prata
Sr. Augusto Moraes,Doença Grave,Amanda Silveira,212704.37,Matheus Borges,Pago,Macedo
Sra. Stephany Ramos,Doença Grave,Ana Julia Gonçalves,98030.25,Isadora Albuquerque,Negado,Rocha
Raquel da Cunha,Doença Grave,Manuela da Cunha,30078.82,Laís Pinto,Em análise,Fernandes
Catarina Pires,Morte Acidental,Cecilia Ribeiro,68838.87,Olivia da Cruz,Pago,Rezende de Gonçalves
Sr. Bryan das Neves,Morte Acidental,Gabriela das Neves,95577.81,Marcela Macedo,Em análise,Santos da Prata
Lara Pires,Auxílio Funeral,Raquel Vargas,16654.3,Davi Lucca Jesus,Pago,Fogaça da Prata
Dr. Brayan da Conceição,Morte Acidental,Brenda da Cunha,88694.89,Clarice Andrade,Em análise,Barros
Heloísa Garcia,Auxílio Funeral,José Camargo,67861.46,Arthur Gabriel Dias,Em análise,Jesus
Kamilly Casa Grande,Invalidez Permanente,Mirella Barros,92812.49,Yan Campos,Pago,Cassiano
Oliver Vasconcelos,Auxílio Funeral,Srta. Maria Isis Ferreira,498063.28,Bianca Silveira,Pago,Caldeira
Heitor da Luz,Invalidez Permanente,Pedro Miguel da Luz,74196.42,Ana Cecília Sousa,Pago,da Costa
Pedro Henrique Monteiro,Morte Acidental,Marcela Rocha,86985.82,Rebeca Camargo,Em análise,Silva
João Gabriel Alves,Doença Grave,Arthur Miguel Fonseca,454073.05,Davi Lucca Viana,Pago,Gomes
Mateus Ramos,Morte Acidental,Danilo Mendes,72522.22,Dra. Lívia Sousa,Em análise,Pacheco
Gael da Mota,Morte Acidental,Joaquim Silveira,38193.67,Nina Pastor,Pago,Silveira
Srta. Helena Novais,Auxílio Funeral,Manuella Fernandes,12332.02,Vitor Hugo Albuquerque,Negado,Vargas Verde
Mateus Mendes,Morte Acidental,Pietro Leão,79379.21,Alana Pastor,Em análise,Araújo dos Dourados
João Borges,Auxílio Funeral,Sr. João Pedro Vargas,33229.25,Luna Borges,Pago,Peixoto do Oeste
Marina Correia,Invalidez Permanente,Rael Sá,352711.94,Sr. Valentim Sá,Negado,da Conceição
Sr. Arthur Macedo,Auxílio Funeral,Maria Alice Vieira,19369.93,Benjamin Leão,Pago,Abreu
Bento das Neves,Morte Acidental,Theo Abreu,29994.61,Isabella Castro,Negado,Pacheco de Castro
Mirella Souza,Auxílio Funeral,Olívia Mendes,339485.28,Leonardo Rios,Negado,Ribeiro
Josué Rocha,Doença Grave,Benjamim Pacheco,383287.25,Vitor Gabriel Cardoso,Em análise,Rocha Alegre
Olivia Cavalcante,Invalidez Permanente,Heloisa Souza,62575.76,Renan Leão,Pago,Cavalcanti do Galho
Maria Sophia Sá,Invalidez Permanente,Caroline Sampaio,62431.89,Mariana Vasconcelos,Pago,Rezende do Sul
Laís Campos,Morte Acidental,Kevin Campos,90173.66,Luiz Fernando Garcia,Em análise,Moraes
Ana Julia Pereira,Morte Acidental,Dra. Joana Cardoso,85881.09,Ravi Lucca Borges,Pago,Montenegro
Maria Julia Castro,Doença Grave,Pietra Gonçalves,40175.46,Cauê Castro,Em análise,Câmara
Fernando Sampaio,Morte Acidental,Srta. Isabela Vasconcelos,51301.22,Sra. Pietra Almeida,Negado,Sampaio
Bárbara da Rosa,Morte Acidental,Dr. Davi Miguel Macedo,286933.05,Maria Helena Duarte,Negado,Correia Grande
Daniel Barbosa,Auxílio Funeral,Sophie Aparecida,32150.89,Ana Sophia Melo,Em análise,Brito de Lopes
João Lucas Camargo,Morte Acidental,Joaquim Farias,51945.9,Dr. Davi Lucca Rodrigues,Negado,Lima
Dr. Matteo Garcia,Doença Grave,Kamilly Sales,98434.47,Lorenzo Barros,Negado,Cardoso
Dr. Lucca Freitas,Morte Acidental,Yan Carvalho,82393.7,Evelyn da Mota,Pago,Novaes das Flores
Erick Garcia,Morte Acidental,Otto Rodrigues,45609.0,Dr. Luiz Felipe Garcia,Pago,Camargo do Sul
Maria Luiza Moura,Invalidez Permanente,Dra. Elisa Albuquerque,86711.09,Thiago das Neves,Negado,Montenegro
Maria Helena Moreira,Doença Grave,Maria Clara Camargo,40829.04,Olivia Cassiano,Em análise,Moraes Alegre
Ana Vitória da Cunha,Morte Acidental,Isadora Pereira,68547.77,Srta. Maria Clara Cirino,Pago,Pimenta
Rodrigo Ferreira,Morte Acidental,Eloá Freitas,52929.09,Antonella Farias,Pago,Rezende
Noah Lopes,Morte Acidental,Luiz Miguel Almeida,55814.2,Manuela da Cruz,Negado,Gomes
Maria Clara Abreu,Morte Acidental,Camila Lopes,50869.7,Bianca Pastor,Em análise,Mendes
Ísis Lima,Invalidez Permanente,Gustavo Henrique Duarte,64743.87,João Lucas Moraes,Pago,Andrade
Maria Flor Cirino,Morte Acidental,Milena da Conceição,15393.02,Leonardo Nunes,Negado,Ramos das Flores
Arthur Gabriel Sales,Invalidez Permanente,Helena Aragão,46523.94,Bárbara Sousa,Negado,Cassiano de Viana
João Vitor Novais,Morte Acidental,Matteo Cunha,30675.23,Bento Vargas,Negado,Novais
Isabella Gonçalves,Morte Acidental,Maria Júlia Câmara,15361.03,Maria Fernanda Farias,Pago,Carvalho
Bento Ferreira,Morte Acidental,Nina das Neves,92496.62,Marcela Campos,Pago,Araújo de Campos
Heloísa Teixeira,Doença Grave,Sr. Henry Gabriel Rios,28137.05,Olívia Moreira,Negado,da Paz
Maria Fernanda Camargo,Invalidez Permanente,Thiago Cavalcanti,212007.3,Dr. João Pedro Pastor,Negado,Monteiro
Hellena Silveira,Invalidez Permanente,Srta. Rebeca Siqueira,27071.44,Ana Luiza Rezende,Em análise,Leão
Dr. Levi Caldeira,Invalidez Permanente,Isaque Abreu,62879.79,Thiago Costela,Pago,da Rocha do Oeste
Luiz Gustavo Albuquerque,Auxílio Funeral,Srta. Manuella Caldeira,27280.17,Natália da Cunha,Negado,Porto da Prata
Liz Dias,Morte Acidental,Srta. Clara Rios,34919.13,Ravi Barros,Em análise,Marques da Praia
Srta. Joana da Cruz,Auxílio Funeral,Nicolas Dias,56055.12,Manuella Borges,Negado,Albuquerque de da Rosa
Noah Cunha,Morte Acidental,Igor Teixeira,81875.25,Zoe Carvalho,Pago,Pires de Ferreira
Srta. Mariana da Luz,Doença Grave,Heitor Borges,282096.97,Théo Santos,Em análise,Melo do Sul
Noah Campos,Morte Acidental,Marcela Lopes,99313.75,Gustavo Henrique Silva,Negado,Rios do Oeste
Luiza Borges,Invalidez Permanente,Melissa Vasconcelos,385865.74,Théo Barros,Em análise,da Mata de Gonçalves
Bernardo Cavalcanti,Auxílio Funeral,Arthur Gabriel Cardoso,78166.13,Ana Vitória Farias,Pago,Mendonça
Luigi Jesus,Invalidez Permanente,Dra. Antonella da Luz,29958.23,Gael Henrique Freitas,Em análise,Peixoto
Emilly Lima,Morte Acidental,Enzo Dias,65128.41,Milena Viana,Em análise,Gonçalves
Eloá Mendonça,Invalidez Permanente,Dr. Theo Alves,86779.13,Rebeca Pereira,Pago,Farias
Heloísa Lima,Doença Grave,Luana da Cruz,71776.65,Lavínia Siqueira,Pago,Andrade de da Rosa
Srta. Larissa Correia,Auxílio Funeral,Sr. Danilo Freitas,78317.74,Josué Viana,Em análise,Pacheco do Galho
Paulo Campos,Morte Acidental,Dra. Daniela da Mota,30848.77,Mateus da Costa,Pago,Fogaça
Thales Silva,Doença Grave,Sr. Juan Ramos,416037.36,Marcela da Conceição,Em análise,Silveira de Sá
Maria Helena Cavalcanti,Morte Acidental,Luiz Fernando Ramos,12842.46,Sra. Ana Liz Cavalcante,Pago,Novais
Francisco Montenegro,Invalidez Permanente,Samuel Andrade,26832.43,Breno Ribeiro,Em análise,Cunha
João Vitor Macedo,Invalidez Permanente,Brayan Lima,76526.23,Rafael Viana,Pago,Carvalho de Minas
Luiza Borges,Invalidez Permanente,Eduardo Melo,38979.37,Henry Gabriel Ribeiro,Negado,Vasconcelos
Laura Pereira,Auxílio Funeral,Yuri Sales,16335.91,Sra. Ana Cecília Peixoto,Negado,Monteiro
Ana Vitória Silveira,Auxílio Funeral,Ana Clara Casa Grande,24071.53,Enzo Gabriel Novaes,Em análise,Sousa
Arthur Miguel Ramos,Morte Acidental,Amanda Aparecida,38731.51,Liam Novais,Em análise,Castro das Pedras
Caio Martins,Morte Acidental,Vitor Hugo Araújo,71265.61,Fernando Gomes,Em análise,Fogaça
Gabriel Gonçalves,Morte Acidental,Henry Borges,50268.57,Alexandre Peixoto,Em análise,Teixeira da Serra
Maria Helena Rios,Invalidez Permanente,Matheus Machado,10464.3,Dr. Lucas Gabriel Castro,Em análise,Nunes
Evelyn Carvalho,Auxílio Funeral,Dra. Rafaela Cardoso,62149.72,Gustavo Henrique Abreu,Pago,Montenegro de Gomes
Maitê Sampaio,Doença Grave,Yasmin Porto,23781.98,Aurora Aparecida,Em análise,Oliveira
Benjamin Peixoto,Invalidez Permanente,Dra. Caroline Casa Grande,49601.38,Ísis Siqueira,Pago,Pastor da Serra
Melina Almeida,Morte Acidental,Liz Jesus,29888.56,Ana Sophia Dias,Negado,Albuquerque
Mariana Sousa,Morte Acidental,Alana Leão,59476.87,Brayan Moreira,Negado,Almeida de das Neves
Ana Júlia Albuquerque,Morte Acidental,Olívia Fernandes,36050.8,Bárbara da Costa,Negado,Vargas Paulista
Ísis da Rocha,Invalidez Permanente,Sr. Cauã Gonçalves,49674.48,Zoe Cassiano,Pago,Silva
Ana Vitória Barros,Morte Acidental,Elisa das Neves,207604.4,Arthur Miguel Carvalho,Pago,Costa
Isis Rocha,Doença Grave,Júlia Costela,323037.48,Pedro Henrique Duarte,Pago,Porto
Sr. Arthur Gabriel da Cunha,Invalidez Permanente,Valentina Pacheco,14689.06,Maya da Conceição,Negado,Siqueira
Sra. Beatriz Albuquerque,Morte Acidental,Julia Rocha,64708.83,Zoe da Mata,Pago,Albuquerque
Eloah Gomes,Doença Grave,Maria Flor Castro,74143.5,Maya Siqueira,Em análise,Martins
Manuella Araújo,Doença Grave,Anthony das Neves,94886.03,Ryan Novaes,Pago,Vargas
Pedro Ferreira,Auxílio Funeral,Emanuella Oliveira,99290.46,Luiz Gustavo Campos,Negado,Ribeiro Alegre
Gabrielly Brito,Auxílio Funeral,Erick Freitas,14704.26,Zoe Alves,Negado,Freitas
Maria Luiza Porto,Auxílio Funeral,Pedro Henrique das Neves,50668.48,Sra. Sophia da Costa,Pago,da Mata de Goiás
Luiz Miguel Araújo,Doença Grave,Marcelo Rocha,10966.25,Felipe Ribeiro,Pago,Barros
Davi Lucas Farias,Auxílio Funeral,Lucas Gabriel Cavalcanti,264782.58,Sr. Liam Costela,Negado,Pacheco
Ana Vitória Brito,Auxílio Funeral,Hellena Aragão,44587.47,Julia Casa Grande,Em análise,Jesus
Ana Julia Gomes,Invalidez Permanente,Maria Isis Brito,377799.3,Mariane Lopes,Pago,Souza
Mateus Fogaça,Morte Acidental,Clara Jesus,83184.32,Kevin Rezende,Pago,da Cruz
Dr. Paulo da Mata,Morte Acidental,Mariana Cavalcante,37355.15,Breno Martins,Pago,Nunes Verde
Eloah Pacheco,Doença Grave,Sr. Luiz Otávio Sales,69743.49,Augusto Camargo,Negado,Ferreira do Oeste
Julia Fernandes,Morte Acidental,Evelyn Sampaio,304242.77,Bento da Cunha,Em análise,Aragão de Ribeiro
Ágatha Nunes,Doença Grave,Davi Santos,80665.57,Letícia Pimenta,Negado,Pastor Alegre
Benjamim Abreu,Morte Acidental,Henrique Fogaça,361509.7,Alícia Cunha,Negado,Dias
Rael Campos,Morte Acidental,Henry Alves,63664.47,Vitor Hugo Andrade,Pago,Sousa de Minas
Isabelly Alves,Invalidez Permanente,Sara Novais,47351.27,Bruna Monteiro,Negado,Melo
Renan Castro,Doença Grave,Dra. Clarice Aparecida,58573.19,Fernanda Silveira,Em análise,Gonçalves
Mirella Pastor,Doença Grave,Rafaela Peixoto,65049.15,Stella Pires,Em análise,Silveira
Luana Barros,Doença Grave,Dr. Brayan Cunha,22164.58,Dra. Maria Liz Carvalho,Em análise,Casa Grande
Davi Lucca Rezende,Invalidez Permanente,Cauã Brito,38511.57,Lara Montenegro,Negado,Rios
Srta. Maysa da Cunha,Morte Acidental,Sophia Lopes,35792.17,Leonardo Aragão,Negado,Gonçalves do Oeste
Théo Freitas,Doença Grave,Sra. Camila Pereira,44806.86,Sr. Danilo Teixeira,Negado,Silveira
Nicole Guerra,Morte Acidental,Nathan Cardoso,35805.68,Cecília Freitas,Negado,Gonçalves da Praia
Sra. Larissa Vasconcelos,Auxílio Funeral,Ágatha Ribeiro,14109.48,Sr. Leonardo Brito,Pago,Peixoto
Mariana Guerra,Morte Acidental,Zoe Silva,464502.59,Sabrina Andrade,Negado,da Rosa do Oeste
Dr. Gabriel Novais,Invalidez Permanente,Sophie da Conceição,81165.88,Dr. Lucas Carvalho,Pago,Moraes
Luiz Miguel Leão,Morte Acidental,Yan Cavalcante,59077.32,Ian Castro,Pago,Mendonça
Rafael da Cunha,Invalidez Permanente,Maysa da Paz,15686.12,Davi Luiz Pereira,Pago,Vasconcelos
Anthony Nogueira,Invalidez Permanente,Maria Laura Carvalho,52976.15,Erick Siqueira,Negado,Pimenta do Amparo
Felipe Moreira,Morte Acidental,Pietra Nogueira,80815.98,Sophia Fogaça,Pago,Cardoso do Oeste
Nathan Porto,Morte Acidental,Dra. Cecília Cirino,64194.44,Francisco Freitas,Pago,das Neves Grande
Murilo Aparecida,Morte Acidental,Vinicius Andrade,26773.23,Breno Porto,Negado,Ferreira das Pedras
Bruna Guerra,Invalidez Permanente,Isabelly da Mota,434231.72,Caroline Pereira,Negado,Freitas de Goiás
Bryan Pereira,Auxílio Funeral,Isabel Andrade,75173.65,Benjamin Araújo,Pago,Fogaça
Dra. Alana Cunha,Morte Acidental,Mirella Silveira,30441.42,Lucca Guerra,Pago,Gonçalves
Valentim Cardoso,Morte Acidental,Samuel Moreira,35010.01,Srta. Stephany Costa,Em análise,Vasconcelos da Prata
Enzo Gabriel Ribeiro,Auxílio Funeral,Bryan Teixeira,87920.0,Isaque Lopes,Em análise,Rodrigues
Alice Monteiro,Morte Acidental,Cauê Gomes,14621.46,Pedro Henrique Fernandes,Em análise,Sá de Rios
Isabelly Gomes,Morte Acidental,Allana Leão,230288.07,Dante Porto,Pago,Araújo
Gustavo Henrique Carvalho,Morte Acidental,Liz Teixeira,49612.73,Rebeca Mendonça,Em análise,da Mota dos Dourados
Sophia da Rosa,Morte Acidental,Gael Pereira,43310.98,Arthur Caldeira,Pago,Aragão da Praia
Sara Cunha,Morte Acidental,Mathias Sá,29947.6,Dr. Isaac Alves,Em análise,Pires
Sr. Dom Aragão,Auxílio Funeral,Ayla Rios,91967.09,Anthony Alves,Em análise,da Luz do Campo
Dr. Mateus Dias,Morte Acidental,Sr. Diogo Freitas,78734.53,Antony da Mata,Pago,Porto Alegre
Kaique Cunha,Morte Acidental,Dr. Diego Nascimento,52748.03,João Vitor Freitas,Negado,da Mata Paulista
Sr. Davi Miguel Correia,Doença Grave,Isabelly Caldeira,99436.2,Maria Alice Câmara,Negado,Macedo
Bento Casa Grande,Auxílio Funeral,Isis Gonçalves,12102.32,Emanuella Aragão,Pago,Cardoso da Prata
Fernando Pereira,Invalidez Permanente,Vitória Sales,90997.35,Maitê Vasconcelos,Pago,da Paz de Casa Grande
Maria Câmara,Auxílio Funeral,Luna Camargo,255431.99,Stella Garcia,Pago,Nunes de Oliveira
Theodoro Aparecida,Morte Acidental,Kaique Rios,11733.54,Ana Carolina Pereira,Pago,Novaes
Davi Miguel Vieira,Morte Acidental,Sophie Pinto,37565.25,Maria Alice Jesus,Em análise,Fonseca
Ian Gomes,Auxílio Funeral,Manuela Novais,94013.26,Sr. Vitor Gabriel Oliveira,Em análise,Cirino de Caldeira
Brayan Santos,Morte Acidental,Dr. Juan Barbosa,48526.4,Helena Vasconcelos,Em análise,Nascimento Verde
José Pedro Camargo,Doença Grave,Maria Sophia Nunes,85341.92,Felipe Albuquerque,Negado,Brito Alegre
Antônio Campos,Morte Acidental,Lucas da Conceição,56839.2,Brenda Barbosa,Em análise,Camargo
Agatha da Mata,Morte Acidental,Valentina Novaes,94089.55,Rodrigo Oliveira,Pago,Moura
Srta. Cecília Camargo,Invalidez Permanente,Dr. Yuri Macedo,36776.44,Ryan Vasconcelos,Negado,Pereira
Isis Souza,Morte Acidental,Maria Cecília Cavalcante,227570.82,Camila Santos,Negado,Moreira Paulista
Alana Alves,Morte Acidental,Rafaela Sousa,247035.88,Nicole Rodrigues,Negado,Araújo de Araújo
Maria Cecília Cardoso,Auxílio Funeral,Fernando Moreira,30210.97,José Pedro Brito,Em análise,Costela
Manuella da Luz,Invalidez Permanente,Sra. Maria Oliveira,59585.81,Dr. Leandro Lopes,Em análise,da Rosa da Mata
Eduarda Pereira,Invalidez Permanente,Gael Henrique Vargas,50305.28,Augusto Sá,Em análise,Mendes
Srta. Stella Alves,Doença Grave,Sra. Isadora Silva,483005.59,Emanuel Santos,Negado,Lopes da Mata
Beatriz Dias,Morte Acidental,Sra. Helena Macedo,32734.66,Ana Sophia Rodrigues,Negado,Santos de Garcia
Dra. Laura Rios,Invalidez Permanente,Sara Rezende,72180.49,Zoe da Rosa,Em análise,Casa Grande de Fernandes
Dr. Matteo da Costa,Morte Acidental,Nicole Santos,45369.9,Davi Lucas Moura,Pago,Casa Grande Paulista
Dra. Sofia Moraes,Doença Grave,Felipe Ramos,313828.92,Dr. Pedro Lucas Camargo,Negado,Casa Grande
Ana Laura Moreira,Invalidez Permanente,Sr. Paulo da Paz,271406.99,Pedro Miguel Borges,Em análise,Monteiro
Otto Silva,Morte Acidental,Maria Eduarda da Cunha,80240.59,Sophie Costa,Negado,Câmara de Borges
Rebeca Novais,Invalidez Permanente,Elisa Castro,35472.25,Ana Julia Pacheco,Negado,Cardoso do Sul
Luiza Martins,Morte Acidental,Helena Peixoto,210445.82,Danilo Dias,Negado,Rezende das Pedras
Thales Gomes,Invalidez Permanente,Henry Cassiano,67467.89,Kaique Freitas,Pago,Farias do Oeste
Rafaela da Mota,Morte Acidental,Noah Novais,234198.81,Dr. Joaquim da Cunha,Negado,Pimenta de Gonçalves
Rhavi da Cruz,Invalidez Permanente,Nicolas Fogaça,88764.34,João Pedro Pastor,Pago,Barros da Prata
Ana Laura Pastor,Morte Acidental,Dra. Maria Luiza Casa Grande,37050.16,Maria Clara Sousa,Em análise,da Luz
Ana Luiza Rios,Invalidez Permanente,Sr. Théo Porto,82711.37,Sra. Aurora Silveira,Negado,Souza
Dr. João Vitor da Rocha,Invalidez Permanente,Isabela Fogaça,36324.14,Sra. Ana Laura da Rocha,Em análise,Moura
Maria Helena da Mota,Invalidez Permanente,Gabrielly das Neves,345407.63,Sr. Carlos Eduardo das Neves,Pago,Novaes
Isaac Rodrigues,Morte Acidental,Igor Sampaio,37240.16,Maya Sampaio,Pago,Cassiano do Campo
Marcela Gomes,Invalidez Permanente,Zoe Carvalho,486590.22,Bento Mendonça,Pago,Gomes da Serra
Maria Flor Mendonça,Morte Acidental,Rafael Cavalcanti,12063.82,Théo Siqueira,Em análise,Martins
Maria Silva,Invalidez Permanente,Pedro Miguel Machado,44628.52,Valentina Melo,Em análise,Caldeira do Galho
Caleb Martins,Invalidez Permanente,Ana Júlia Almeida,97051.91,Luna Melo,Em análise,Mendes
Benjamin Ramos,Doença Grave,Eloá Porto,46450.41,Levi Sales,Negado,da Luz das Flores
Gabrielly Souza,Morte Acidental,Isabella Vasconcelos,92333.57,Vitor Azevedo,Em análise,Teixeira de Costa
Ana Laura Souza,Morte Acidental,Levi Cavalcanti,31698.4,Ágatha da Rosa,Em análise,Costa
Isaac Cassiano,Auxílio Funeral,Enrico Costa,97793.75,Thales Costela,Pago,Campos
Sra. Bárbara Casa Grande,Morte Acidental,Lara Mendonça,32123.72,Sr. Ravy da Mata,Negado,Andrade das Pedras
Ester Vargas,Doença Grave,Marcos Vinicius Ramos,45710.4,Levi Vieira,Pago,Campos
Manuella da Paz,Morte Acidental,Lucca Silveira,56558.67,Dra. Luara Martins,Negado,Farias das Pedras
Davi Miguel Carvalho,Morte Acidental,Sr. Rafael Moraes,372997.32,Leandro Pastor,Em análise,Silveira de Leão
Luiz Otávio Ribeiro,Morte Acidental,Dr. Theodoro Campos,31576.02,Pedro Henrique Cavalcanti,Negado,Rezende
Sophia Rodrigues,Invalidez Permanente,Carlos Eduardo Pastor,493185.14,Sr. Eduardo Fonseca,Pago,Albuquerque
Marcos Vinicius Farias,Morte Acidental,Luan Pinto,411890.13,Rael Lopes,Em análise,Almeida Grande
Thales Camargo,Invalidez Permanente,Arthur das Neves,80276.43,José Casa Grande,Pago,Andrade
Kaique Rodrigues,Morte Acidental,Asafe Moura,63984.76,Milena Nogueira,Negado,Barros
Antonella Ribeiro,Invalidez Permanente,Daniela Borges,54688.17,Valentina Gonçalves,Em análise,da Rocha Paulista
Rafael Duarte,Invalidez Permanente,Laura Albuquerque,27427.65,Maria Julia Pires,Em análise,Santos
Lucas Gabriel Costela,Invalidez Permanente,Theodoro Novais,50973.0,Luana da Rosa,Negado,Novais
Otto Caldeira,Morte Acidental,Lorenzo da Paz,71471.1,Srta. Bianca Cirino,Negado,Barros da Prata
Isabelly da Rocha,Invalidez Permanente,Bryan Nunes,27798.66,Isadora Leão,Em análise,Porto
